Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Date_local,event_date,material_or_label,ticker,stock_return_1d,stock_vol_20d,fwd_cum_return
2021-11-19 05:00:00+00:00,36.14016347,36.36040303,35.94745128,36.03692627,3222427,0,0,2021-11-19 00:00:00-05:00,2021-11-19,니켈,BHP,0.001147304,0.01902563,0.05886719
2021-11-22 05:00:00+00:00,36.40858144,37.50978509,36.23651846,37.17942429,3968004,0,0,2021-11-22 00:00:00-05:00,2021-11-22,니켈,BHP,0.031703537,0.02032462,0.037817204
2021-11-23 05:00:00+00:00,37.69561594,38.27374959,37.68873484,38.21868896,4002082,0,0,2021-11-23 00:00:00-05:00,2021-11-23,니켈,BHP,0.027952683,0.021381741,0.046863672
2021-11-24 05:00:00+00:00,38.51464036,38.77617542,38.06039311,38.18427658,3947938,0,0,2021-11-24 00:00:00-05:00,2021-11-24,니켈,BHP,-0.000900407,0.020916974,0.070365508
2021-11-26 05:00:00+00:00,36.76647666,37.53043849,36.67012056,37.4616127,2545455,0,0,2021-11-26 00:00:00-05:00,2021-11-26,니켈,BHP,-0.018925693,0.021274918,0.044496142
2021-11-29 05:00:00+00:00,38.17050808,38.69358108,38.01221025,38.51463699,4162049,0,0,2021-11-29 00:00:00-05:00,2021-11-29,니켈,BHP,0.028109422,0.021620518,0.037017313
2021-11-30 05:00:00+00:00,38.77617269,39.27171539,38.33569062,38.67293549,5092479,0,0,2021-11-30 00:00:00-05:00,2021-11-30,니켈,BHP,0.004110087,0.021556841,0.05337423
2021-12-01 05:00:00+00:00,38.85188378,39.31989621,38.01909907,38.03974533,4560901,0,0,2021-12-01 00:00:00-05:00,2021-12-01,니켈,BHP,-0.016372953,0.021027003,0.035553255
2021-12-02 05:00:00+00:00,38.81747046,39.90490907,38.62475825,39.68466949,6897177,0,0,2021-12-02 00:00:00-05:00,2021-12-02,니켈,BHP,0.04324225,0.02287799,0.086956584
2021-12-03 05:00:00+00:00,38.3976314,38.67981564,37.16566021,37.51667023,6099697,0,0,2021-12-03 00:00:00-05:00,2021-12-03,니켈,BHP,-0.054630649,0.026224425,0.073258264
2021-12-06 05:00:00+00:00,38.49398523,38.61098758,38.16362444,38.42515945,4885318,0,0,2021-12-06 00:00:00-05:00,2021-12-06,니켈,BHP,0.024215615,0.026706768,0.042358287
2021-12-07 05:00:00+00:00,39.7121957,40.35915215,39.6089585,39.80855179,4666835,0,0,2021-12-07 00:00:00-05:00,2021-12-07,니켈,BHP,0.036002254,0.027335536,0.034351108
2021-12-08 05:00:00+00:00,39.85673423,39.99438581,39.53325449,39.67090607,2716856,0,0,2021-12-08 00:00:00-05:00,2021-12-08,니켈,BHP,-0.003457692,0.026642275,0.055205208
2021-12-09 05:00:00+00:00,39.20977153,39.40248077,39.02394045,39.27171326,2806984,0,0,2021-12-09 00:00:00-05:00,2021-12-09,니켈,BHP,-0.010062609,0.026246646,0.053496457
2021-12-10 05:00:00+00:00,39.69843334,39.82231975,39.20289063,39.36807251,2885566,0,0,2021-12-10 00:00:00-05:00,2021-12-10,니켈,BHP,0.002453655,0.023724372,0.047197919
2021-12-13 05:00:00+00:00,39.93243196,40.00814178,39.36806649,39.66401291,3003495,0,0,2021-12-13 00:00:00-05:00,2021-12-13,니켈,BHP,0.007517269,0.023579647,0.03891191
2021-12-14 05:00:00+00:00,39.9943812,40.35227233,39.79478496,39.97373199,3463217,0,0,2021-12-14 00:00:00-05:00,2021-12-14,니켈,BHP,0.007808567,0.023239342,0.052523225
2021-12-15 05:00:00+00:00,39.9943809,40.13891357,39.26483055,40.0976181,4324930,0,0,2021-12-15 00:00:00-05:00,2021-12-15,니켈,BHP,0.003099188,0.022619248,0.061591004
2021-12-16 05:00:00+00:00,40.31786179,40.5862809,40.17332911,40.22838974,3142948,0,0,2021-12-16 00:00:00-05:00,2021-12-16,니켈,BHP,0.003261332,0.022412885,0.066071603
2021-12-17 05:00:00+00:00,40.6344578,40.66887216,40.03568079,40.10450363,4116424,0,0,2021-12-17 00:00:00-05:00,2021-12-17,니켈,BHP,-0.003079569,0.022460071,0.105462202
2021-12-20 05:00:00+00:00,39.83607978,40.09761775,39.48507271,40.07008743,3436426,0,0,2021-12-20 00:00:00-05:00,2021-12-20,니켈,BHP,-0.000858163,0.022485739,0.057611732
2021-12-21 05:00:00+00:00,40.51057389,41.13688416,40.48304358,41.09558868,5482699,0,0,2021-12-21 00:00:00-05:00,2021-12-21,니켈,BHP,0.025592688,0.022150811,0.088438712
2021-12-22 05:00:00+00:00,40.54498402,40.84093344,39.95996925,40.7789917,3762637,0,0,2021-12-22 00:00:00-05:00,2021-12-22,니켈,BHP,-0.007703917,0.021657147,0.120661003
2021-12-23 05:00:00+00:00,41.02676147,41.43971324,40.89599394,41.24011993,2586259,0,0,2021-12-23 00:00:00-05:00,2021-12-23,니켈,BHP,0.011307985,0.021699459,0.11295399
2021-12-27 05:00:00+00:00,41.22635477,41.50165791,40.87534767,41.49477386,1673541,0,0,2021-12-27 00:00:00-05:00,2021-12-27,니켈,BHP,0.006174908,0.0210138,0.12328075
2021-12-28 05:00:00+00:00,41.2470041,41.46724367,40.90287516,41.03364563,2001770,0,0,2021-12-28 00:00:00-05:00,2021-12-28,니켈,BHP,-0.011112923,0.020602852,0.103637215
2021-12-29 05:00:00+00:00,41.47412776,41.8664333,41.38465571,41.43971634,2501399,0,0,2021-12-29 00:00:00-05:00,2021-12-29,니켈,BHP,0.009896043,0.020654269,0.136409002
2021-12-30 05:00:00+00:00,41.84578416,41.95590247,41.44659754,41.47412491,2306570,0,0,2021-12-30 00:00:00-05:00,2021-12-30,니켈,BHP,0.000830328,0.020127368,0.127257717
2021-12-31 05:00:00+00:00,41.38465504,41.6599582,41.3227133,41.53607178,1380399,0,0,2021-12-31 00:00:00-05:00,2021-12-31,니켈,BHP,0.001493627,0.017947452,0.076731939
2022-01-03 05:00:00+00:00,41.70124925,41.83201972,41.39153762,41.52918625,1776112,0,0,2022-01-03 00:00:00-05:00,2022-01-03,니켈,BHP,-0.000165772,0.011968826,0.053652933
2022-01-04 05:00:00+00:00,41.65995503,42.42391389,41.59801035,42.20367432,3723177,0,0,2022-01-04 00:00:00-05:00,2022-01-04,니켈,BHP,0.016241302,0.011420924,0.029492422
2022-01-05 05:00:00+00:00,42.49273819,43.34617202,42.47897304,42.70609665,7154895,0,0,2022-01-05 00:00:00-05:00,2022-01-05,니켈,BHP,0.011904706,0.00895703,0.037829985
2022-01-06 05:00:00+00:00,42.86439371,43.11216653,42.25873272,42.75427246,3280382,0,0,2022-01-06 00:00:00-05:00,2022-01-06,니켈,BHP,0.001128078,0.008825744,0.022373988
2022-01-07 05:00:00+00:00,43.28423533,44.30284821,43.2291747,44.2959671,4178752,0,0,2022-01-07 00:00:00-05:00,2022-01-07,니켈,BHP,0.036059429,0.010817574,0.016151859
2022-01-10 05:00:00+00:00,43.45629562,43.66965409,42.80933617,43.46317673,4884085,0,0,2022-01-10 00:00:00-05:00,2022-01-10,니켈,BHP,-0.018800591,0.012155167,-0.013800587
2022-01-11 05:00:00+00:00,43.35993641,44.46802414,42.98828013,44.3854332,4725015,0,0,2022-01-11 00:00:00-05:00,2022-01-11,니켈,BHP,0.021219261,0.012677662,-0.031720062
2022-01-12 05:00:00+00:00,46.11295399,46.26437074,45.49352775,46.21619415,5156040,0,0,2022-01-12 00:00:00-05:00,2022-01-12,니켈,BHP,0.041246887,0.014966589,-0.023546962
